,het_inbreed,het_rhh
1,1.061862298,1.1096602
2,1.246355464,1.0323446
3,1.195085793,0.6394822
4,0.7369601,0.8217714
5,1.092392888,1.1521301
6,0.931233244,1.082671
7,0.940683272,1.0034018
8,0.875888394,1.0618623
9,0.78692016,1.2463555
10,0.881839375,1.1950858
11,1.109660246,0.7369601
12,0.780529352,1.0923929
13,0.676970659,0.9312332
14,1.20176373,0.9406833
15,1.166016847,0.8758884
16,1.059667149,0.7869202
17,1.23078441,0.8818394
18,1.046816322,0.7805294
19,1.058345784,0.6769707
20,1.203916025,1.2017637
21,1.264954902,1.1660168
22,1.032344634,1.0596671
23,1.214284817,1.2307844
24,1.231363749,1.0468163
25,0.779287957,1.0583458
26,1.09093632,1.203916
27,1.007573491,1.2649549
28,0.956865513,1.2142848
29,0.886497383,1.2313637
30,0.79890051,0.779288
31,0.71198401,1.0909363
32,0.63948222,1.0075735
33,0.821771367,0.9568655
34,1.152130116,0.8864974
35,1.082670982,0.7989005
36,1.003401798,0.711984
